lat,lon,chlorophyll_a
5.0,92.0,0.159
5.0,93.0,0.118
5.0,94.0,0.159
5.0,95.0,0.154
5.0,96.0,0.149
5.0,97.0,0.14
5.0,98.0,0.156
5.0,99.0,0.136
5.0,100.0,0.161
6.0,58.0,0.189
6.0,59.0,0.145
6.0,60.0,0.143
6.0,61.0,0.134
6.0,62.0,0.141
6.0,63.0,0.133
6.0,64.0,0.146
6.0,65.0,0.159
6.0,66.0,0.187
6.0,67.0,0.178
6.0,68.0,0.214
6.0,69.0,0.295
6.0,70.0,0.406
6.0,71.0,0.466
6.0,72.0,0.523
6.0,73.0,0.466
6.0,74.0,0.372
6.0,75.0,0.247
6.0,76.0,0.197
6.0,77.0,0.191
6.0,78.0,0.188
6.0,79.0,0.195
6.0,80.0,0.315
6.0,81.0,0.401
6.0,82.0,0.451
6.0,83.0,0.373
6.0,84.0,0.295
6.0,85.0,0.2
6.0,86.0,0.205
6.0,87.0,0.163
6.0,88.0,0.136
6.0,89.0,0.17
6.0,90.0,0.147
6.0,91.0,0.128
6.0,92.0,0.157
6.0,93.0,0.175
6.0,94.0,0.124
6.0,95.0,0.139
6.0,96.0,0.138
6.0,97.0,0.121
6.0,98.0,0.158
6.0,99.0,0.152
6.0,100.0,0.167
7.0,58.0,0.19
7.0,59.0,0.238
7.0,60.0,0.242
7.0,61.0,0.225
7.0,62.0,0.201
7.0,63.0,0.215
7.0,64.0,0.172
7.0,65.0,0.174
7.0,66.0,0.147
7.0,67.0,0.168
7.0,68.0,0.207
7.0,69.0,0.277
7.0,70.0,0.374
7.0,71.0,0.476
7.0,72.0,0.49
7.0,73.0,0.484
7.0,74.0,0.38
7.0,75.0,0.265
7.0,76.0,0.214
7.0,77.0,0.18
7.0,78.0,0.261
7.0,79.0,0.234
7.0,80.0,0.313
7.0,81.0,0.382
7.0,82.0,0.455
7.0,83.0,0.404
7.0,84.0,0.331
7.0,85.0,0.187
7.0,86.0,0.198
7.0,87.0,0.172
7.0,88.0,0.19
7.0,89.0,0.164
7.0,90.0,0.129
7.0,91.0,0.167
7.0,92.0,0.16
7.0,93.0,0.145
7.0,94.0,0.168
7.0,95.0,0.177
7.0,96.0,0.141
7.0,97.0,0.152
7.0,98.0,0.141
7.0,99.0,0.164
7.0,100.0,0.166
8.0,58.0,0.314
8.0,59.0,0.314
8.0,60.0,0.286
8.0,61.0,0.237
8.0,62.0,0.282
8.0,63.0,0.2
8.0,64.0,0.233
8.0,65.0,0.181
8.0,66.0,0.166
8.0,67.0,0.203
8.0,68.0,0.214
8.0,69.0,0.266
8.0,70.0,0.348
8.0,71.0,0.46
8.0,72.0,0.494
8.0,73.0,0.457
8.0,74.0,0.368
8.0,75.0,0.262
8.0,76.0,0.206
8.0,77.0,0.177
8.0,78.0,0.209
8.0,79.0,0.214
8.0,80.0,0.315
8.0,81.0,0.409
8.0,82.0,0.426
8.0,83.0,0.407
8.0,84.0,0.342
8.0,85.0,0.246
8.0,86.0,0.204
8.0,87.0,0.202
8.0,88.0,0.193
8.0,89.0,0.198
8.0,90.0,0.183
8.0,91.0,0.166
8.0,92.0,0.213
8.0,93.0,0.146
8.0,94.0,0.149
8.0,95.0,0.154
8.0,96.0,0.131
8.0,97.0,0.19
8.0,98.0,0.189
8.0,99.0,0.199
8.0,100.0,0.179
9.0,58.0,0.355
9.0,59.0,0.379
9.0,60.0,0.361
9.0,61.0,0.292
9.0,62.0,0.315
9.0,63.0,0.279
9.0,64.0,0.255
9.0,65.0,0.196
9.0,66.0,0.18
9.0,67.0,0.219
9.0,68.0,0.22
9.0,69.0,0.272
9.0,70.0,0.38
9.0,71.0,0.447
9.0,72.0,0.469
9.0,73.0,0.46
9.0,74.0,0.38
9.0,75.0,0.297
9.0,76.0,0.182
9.0,77.0,0.183
9.0,78.0,0.224
9.0,79.0,0.21
9.0,80.0,0.293
9.0,81.0,0.411
9.0,82.0,0.466
9.0,83.0,0.433
9.0,84.0,0.367
9.0,85.0,0.286
9.0,86.0,0.267
9.0,87.0,0.268
9.0,88.0,0.229
9.0,89.0,0.266
9.0,90.0,0.285
9.0,91.0,0.22
9.0,92.0,0.228
9.0,93.0,0.206
9.0,94.0,0.189
9.0,95.0,0.192
9.0,96.0,0.217
9.0,97.0,0.182
9.0,98.0,0.163
9.0,99.0,0.178
9.0,100.0,0.194
10.0,58.0,0.472
10.0,59.0,0.452
10.0,60.0,0.39
10.0,61.0,0.384
10.0,62.0,0.346
10.0,63.0,0.287
10.0,64.0,0.216
10.0,65.0,0.265
10.0,66.0,0.215
10.0,67.0,0.22
10.0,68.0,0.238
10.0,69.0,0.278
10.0,70.0,0.372
10.0,71.0,0.449
10.0,72.0,0.457
10.0,73.0,0.421
10.0,74.0,0.339
10.0,75.0,0.279
10.0,76.0,0.224
10.0,77.0,0.197
10.0,78.0,0.211
10.0,79.0,0.245
10.0,80.0,0.311
10.0,81.0,0.387
10.0,82.0,0.451
10.0,83.0,0.43
10.0,84.0,0.357
10.0,85.0,0.347
10.0,86.0,0.285
10.0,87.0,0.303
10.0,88.0,0.311
10.0,89.0,0.309
10.0,90.0,0.274
10.0,91.0,0.233
10.0,92.0,0.259
10.0,93.0,0.227
10.0,94.0,0.231
10.0,95.0,0.236
10.0,96.0,0.174
10.0,97.0,0.221
10.0,98.0,0.228
10.0,99.0,0.198
10.0,100.0,0.209
11.0,58.0,0.532
11.0,59.0,0.466
11.0,60.0,0.481
11.0,61.0,0.436
11.0,62.0,0.382
11.0,63.0,0.316
11.0,64.0,0.265
11.0,65.0,0.23
11.0,66.0,0.25
11.0,67.0,0.231
11.0,68.0,0.24
11.0,69.0,0.284
11.0,70.0,0.341
11.0,71.0,0.442
11.0,72.0,0.506
11.0,73.0,0.415
11.0,74.0,0.348
11.0,75.0,0.295
11.0,76.0,0.211
11.0,77.0,0.203
11.0,78.0,0.234
11.0,79.0,0.236
11.0,80.0,0.324
11.0,81.0,0.411
11.0,82.0,0.46
11.0,83.0,0.443
11.0,84.0,0.45
11.0,85.0,0.36
11.0,86.0,0.336
11.0,87.0,0.359
11.0,88.0,0.344
11.0,89.0,0.36
11.0,90.0,0.38
11.0,91.0,0.305
11.0,92.0,0.268
11.0,93.0,0.303
11.0,94.0,0.258
11.0,95.0,0.234
11.0,96.0,0.23
11.0,97.0,0.2
11.0,98.0,0.181
11.0,99.0,0.227
11.0,100.0,0.201
12.0,58.0,0.572
12.0,59.0,0.587
12.0,60.0,0.557
12.0,61.0,0.496
12.0,62.0,0.423
12.0,63.0,0.356
12.0,64.0,0.3
12.0,65.0,0.257
12.0,66.0,0.217
12.0,67.0,0.209
12.0,68.0,0.237
12.0,69.0,0.275
12.0,70.0,0.381
12.0,71.0,0.439
12.0,72.0,0.433
12.0,73.0,0.418
12.0,74.0,0.325
12.0,75.0,0.25
12.0,76.0,0.184
12.0,77.0,0.186
12.0,78.0,0.18
12.0,79.0,0.261
12.0,80.0,0.326
12.0,81.0,0.441
12.0,82.0,0.473
12.0,83.0,0.478
12.0,84.0,0.475
12.0,85.0,0.484
12.0,86.0,0.454
12.0,87.0,0.462
12.0,88.0,0.475
12.0,89.0,0.47
12.0,90.0,0.439
12.0,91.0,0.407
12.0,92.0,0.352
12.0,93.0,0.344
12.0,94.0,0.31
12.0,95.0,0.256
12.0,96.0,0.245
12.0,97.0,0.217
12.0,98.0,0.229
12.0,99.0,0.18
12.0,100.0,0.166
13.0,58.0,0.679
13.0,59.0,0.649
13.0,60.0,0.604
13.0,61.0,0.57
13.0,62.0,0.46
13.0,63.0,0.372
13.0,64.0,0.322
13.0,65.0,0.3
13.0,66.0,0.241
13.0,67.0,0.205
13.0,68.0,0.203
13.0,69.0,0.284
13.0,70.0,0.301
13.0,71.0,0.402
13.0,72.0,0.397
13.0,73.0,0.384
13.0,74.0,0.326
13.0,75.0,0.285
13.0,76.0,0.229
13.0,77.0,0.238
13.0,78.0,0.234
13.0,79.0,0.28
13.0,80.0,0.378
13.0,81.0,0.449
13.0,82.0,0.594
13.0,83.0,0.565
13.0,84.0,0.577
13.0,85.0,0.56
13.0,86.0,0.561
13.0,87.0,0.598
13.0,88.0,0.576
13.0,89.0,0.576
13.0,90.0,0.546
13.0,91.0,0.475
13.0,92.0,0.457
13.0,93.0,0.408
13.0,94.0,0.334
13.0,95.0,0.303
13.0,96.0,0.267
13.0,97.0,0.245
13.0,98.0,0.203
13.0,99.0,0.249
13.0,100.0,0.171
14.0,58.0,0.733
14.0,59.0,0.713
14.0,60.0,0.68
14.0,61.0,0.549
14.0,62.0,0.517
14.0,63.0,0.435
14.0,64.0,0.339
14.0,65.0,0.274
14.0,66.0,0.251
14.0,67.0,0.242
14.0,68.0,0.2
14.0,69.0,0.254
14.0,70.0,0.327
14.0,71.0,0.378
14.0,72.0,0.408
14.0,73.0,0.4
14.0,74.0,0.311
14.0,75.0,0.271
14.0,76.0,0.213
14.0,77.0,0.205
14.0,78.0,0.249
14.0,79.0,0.313
14.0,80.0,0.376
14.0,81.0,0.488
14.0,82.0,0.59
14.0,83.0,0.638
14.0,84.0,0.634
14.0,85.0,0.652
14.0,86.0,0.716
14.0,87.0,0.731
14.0,88.0,0.746
14.0,89.0,0.769
14.0,90.0,0.697
14.0,91.0,0.609
14.0,92.0,0.531
14.0,93.0,0.47
14.0,94.0,0.432
14.0,95.0,0.338
14.0,96.0,0.296
14.0,97.0,0.231
14.0,98.0,0.241
14.0,99.0,0.234
14.0,100.0,0.186
15.0,58.0,0.763
15.0,59.0,0.732
15.0,60.0,0.695
15.0,61.0,0.596
15.0,62.0,0.514
15.0,63.0,0.467
15.0,64.0,0.389
15.0,65.0,0.293
15.0,66.0,0.289
15.0,67.0,0.245
15.0,68.0,0.219
15.0,69.0,0.268
15.0,70.0,0.288
15.0,71.0,0.372
15.0,72.0,0.413
15.0,73.0,0.341
15.0,74.0,0.295
15.0,75.0,0.295
15.0,76.0,0.218
15.0,77.0,0.212
15.0,78.0,0.241
15.0,79.0,0.311
15.0,80.0,0.442
15.0,81.0,0.538
15.0,82.0,0.644
15.0,83.0,0.694
15.0,84.0,0.781
15.0,85.0,0.796
15.0,86.0,0.837
15.0,87.0,0.938
15.0,88.0,0.961
15.0,89.0,0.914
15.0,90.0,0.84
15.0,91.0,0.774
15.0,92.0,0.678
15.0,93.0,0.584
15.0,94.0,0.455
15.0,95.0,0.354
15.0,96.0,0.34
15.0,97.0,0.259
15.0,98.0,0.217
15.0,99.0,0.218
15.0,100.0,0.189
16.0,58.0,0.865
16.0,59.0,0.799
16.0,60.0,0.752
16.0,61.0,0.679
16.0,62.0,0.587
16.0,63.0,0.466
16.0,64.0,0.391
16.0,65.0,0.265
16.0,66.0,0.262
16.0,67.0,0.216
16.0,68.0,0.207
16.0,69.0,0.259
16.0,70.0,0.297
16.0,71.0,0.32
16.0,72.0,0.365
16.0,73.0,0.311
16.0,74.0,0.275
16.0,75.0,0.245
16.0,76.0,0.193
16.0,77.0,0.225
16.0,78.0,0.212
16.0,79.0,0.323
16.0,80.0,0.397
16.0,81.0,0.56
16.0,82.0,0.642
16.0,83.0,0.804
16.0,84.0,0.847
16.0,85.0,0.942
16.0,86.0,1.006
16.0,87.0,1.078
16.0,88.0,1.119
16.0,89.0,1.087
16.0,90.0,1.009
16.0,91.0,0.946
16.0,92.0,0.808
16.0,93.0,0.653
16.0,94.0,0.546
16.0,95.0,0.49
16.0,96.0,0.347
16.0,97.0,0.259
16.0,98.0,0.238
16.0,99.0,0.177
16.0,100.0,0.169
17.0,58.0,0.919
17.0,59.0,0.866
17.0,60.0,0.809
17.0,61.0,0.723
17.0,62.0,0.602
17.0,63.0,0.46
17.0,64.0,0.388
17.0,65.0,0.313
17.0,66.0,0.26
17.0,67.0,0.246
17.0,68.0,0.196
17.0,69.0,0.228
17.0,70.0,0.255
17.0,71.0,0.299
17.0,72.0,0.357
17.0,73.0,0.27
17.0,74.0,0.233
17.0,75.0,0.192
17.0,76.0,0.192
17.0,77.0,0.229
17.0,78.0,0.319
17.0,79.0,0.351
17.0,80.0,0.452
17.0,81.0,0.568
17.0,82.0,0.718
17.0,83.0,0.859
17.0,84.0,0.953
17.0,85.0,1.072
17.0,86.0,1.192
17.0,87.0,1.259
17.0,88.0,1.283
17.0,89.0,1.237
17.0,90.0,1.207
17.0,91.0,1.041
17.0,92.0,0.894
17.0,93.0,0.776
17.0,94.0,0.606
17.0,95.0,0.5
17.0,96.0,0.349
17.0,97.0,0.321
17.0,98.0,0.248
17.0,99.0,0.205
17.0,100.0,0.225
18.0,58.0,0.973
18.0,59.0,0.932
18.0,60.0,0.896
18.0,61.0,0.73
18.0,62.0,0.612
18.0,63.0,0.536
18.0,64.0,0.434
18.0,65.0,0.301
18.0,66.0,0.253
18.0,67.0,0.215
18.0,68.0,0.19
18.0,69.0,0.188
18.0,70.0,0.224
18.0,71.0,0.285
18.0,72.0,0.297
18.0,73.0,0.305
18.0,74.0,0.237
18.0,75.0,0.216
18.0,76.0,0.207
18.0,77.0,0.234
18.0,78.0,0.236
18.0,79.0,0.339
18.0,80.0,0.44
18.0,81.0,0.621
18.0,82.0,0.748
18.0,83.0,0.945
18.0,84.0,1.064
18.0,85.0,1.167
18.0,86.0,1.307
18.0,87.0,1.421
18.0,88.0,1.41
18.0,89.0,1.359
18.0,90.0,1.289
18.0,91.0,1.174
18.0,92.0,1.008
18.0,93.0,0.822
18.0,94.0,0.671
18.0,95.0,0.53
18.0,96.0,0.419
18.0,97.0,0.333
18.0,98.0,0.246
18.0,99.0,0.228
18.0,100.0,0.162
19.0,58.0,1.033
19.0,59.0,0.976
19.0,60.0,0.94
19.0,61.0,0.796
19.0,62.0,0.691
19.0,63.0,0.531
19.0,64.0,0.39
19.0,65.0,0.312
19.0,66.0,0.246
19.0,67.0,0.219
19.0,68.0,0.2
19.0,69.0,0.177
19.0,70.0,0.207
19.0,71.0,0.215
19.0,72.0,0.288
19.0,73.0,0.276
19.0,74.0,0.258
19.0,75.0,0.191
19.0,76.0,0.195
19.0,77.0,0.224
19.0,78.0,0.287
19.0,79.0,0.355
19.0,80.0,0.465
19.0,81.0,0.594
19.0,82.0,0.805
19.0,83.0,0.969
19.0,84.0,1.108
19.0,85.0,1.247
19.0,86.0,1.393
19.0,87.0,1.494
19.0,88.0,1.489
19.0,89.0,1.494
19.0,90.0,1.374
19.0,91.0,1.225
19.0,92.0,1.02
19.0,93.0,0.87
19.0,94.0,0.696
19.0,95.0,0.507
19.0,96.0,0.412
19.0,97.0,0.314
19.0,98.0,0.292
19.0,99.0,0.201
19.0,100.0,0.219
20.0,58.0,1.1
20.0,59.0,1.073
20.0,60.0,0.965
20.0,61.0,0.871
20.0,62.0,0.719
20.0,63.0,0.509
20.0,64.0,0.426
20.0,65.0,0.302
20.0,66.0,0.251
20.0,67.0,0.197
20.0,68.0,0.214
20.0,69.0,0.19
20.0,70.0,0.206
20.0,71.0,0.213
20.0,72.0,0.255
20.0,73.0,0.233
20.0,74.0,0.217
20.0,75.0,0.166
20.0,76.0,0.223
20.0,77.0,0.196
20.0,78.0,0.242
20.0,79.0,0.333
20.0,80.0,0.464
20.0,81.0,0.57
20.0,82.0,0.767
20.0,83.0,0.944
20.0,84.0,1.092
20.0,85.0,1.289
20.0,86.0,1.418
20.0,87.0,1.5
20.0,88.0,1.559
20.0,89.0,1.509
20.0,90.0,1.397
20.0,91.0,1.249
20.0,92.0,1.057
20.0,93.0,0.901
20.0,94.0,0.713
20.0,95.0,0.585
20.0,96.0,0.416
20.0,97.0,0.335
20.0,98.0,0.212
20.0,99.0,0.188
20.0,100.0,0.15
21.0,58.0,1.137
21.0,59.0,1.128
21.0,60.0,1.048
21.0,61.0,0.925
21.0,62.0,0.727
21.0,63.0,0.558
21.0,64.0,0.446
21.0,65.0,0.318
21.0,66.0,0.232
21.0,67.0,0.2
21.0,68.0,0.172
21.0,69.0,0.127
21.0,70.0,0.198
21.0,71.0,0.213
21.0,72.0,0.218
21.0,73.0,0.227
21.0,74.0,0.206
21.0,75.0,0.169
21.0,76.0,0.206
21.0,77.0,0.203
21.0,78.0,0.279
21.0,79.0,0.34
21.0,80.0,0.413
21.0,81.0,0.613
21.0,82.0,0.757
21.0,83.0,0.877
21.0,84.0,1.06
21.0,85.0,1.25
21.0,86.0,1.349
21.0,87.0,1.467
21.0,88.0,1.478
21.0,89.0,1.422
21.0,90.0,1.37
21.0,91.0,1.206
21.0,92.0,1.046
21.0,93.0,0.867
21.0,94.0,0.665
21.0,95.0,0.525
21.0,96.0,0.425
21.0,97.0,0.317
21.0,98.0,0.206
21.0,99.0,0.191
21.0,100.0,0.128
22.0,58.0,1.274
22.0,59.0,1.171
22.0,60.0,1.079
22.0,61.0,0.925
22.0,62.0,0.797
22.0,63.0,0.58
22.0,64.0,0.403
22.0,65.0,0.331
22.0,66.0,0.247
22.0,67.0,0.184
22.0,68.0,0.145
22.0,69.0,0.155
22.0,70.0,0.161
22.0,71.0,0.189
22.0,72.0,0.196
22.0,73.0,0.183
22.0,74.0,0.136
22.0,75.0,0.163
22.0,76.0,0.19
22.0,77.0,0.172
22.0,78.0,0.178
22.0,79.0,0.288
22.0,80.0,0.389
22.0,81.0,0.501
22.0,82.0,0.688
22.0,83.0,0.831
22.0,84.0,0.939
22.0,85.0,1.147
22.0,86.0,1.252
22.0,87.0,1.367
22.0,88.0,1.364
22.0,89.0,1.34
22.0,90.0,1.272
22.0,91.0,1.147
22.0,92.0,0.976
22.0,93.0,0.836
22.0,94.0,0.6
22.0,95.0,0.512
22.0,96.0,0.354
22.0,97.0,0.266
22.0,98.0,0.226
22.0,99.0,0.191
22.0,100.0,0.111
23.0,58.0,1.213
23.0,59.0,1.164
23.0,60.0,1.075
23.0,61.0,0.91
23.0,62.0,0.716
23.0,63.0,0.607
23.0,64.0,0.408
23.0,65.0,0.308
23.0,66.0,0.234
23.0,67.0,0.17
23.0,68.0,0.124
23.0,69.0,0.159
23.0,70.0,0.162
23.0,71.0,0.147
23.0,72.0,0.19
23.0,73.0,0.122
23.0,74.0,0.164
23.0,75.0,0.146
23.0,76.0,0.156
23.0,77.0,0.163
23.0,78.0,0.19
23.0,79.0,0.253
23.0,80.0,0.339
23.0,81.0,0.496
23.0,82.0,0.634
23.0,83.0,0.746
23.0,84.0,0.865
23.0,85.0,1.02
23.0,86.0,1.093
23.0,87.0,1.175
23.0,88.0,1.249
23.0,89.0,1.203
23.0,90.0,1.106
23.0,91.0,0.966
23.0,92.0,0.845
23.0,93.0,0.668
23.0,94.0,0.586
23.0,95.0,0.424
23.0,96.0,0.369
23.0,97.0,0.261
23.0,98.0,0.238
23.0,99.0,0.151
23.0,100.0,0.143
24.0,58.0,1.236
24.0,59.0,1.169
24.0,60.0,1.082
24.0,61.0,0.924
24.0,62.0,0.769
24.0,63.0,0.595
24.0,64.0,0.446
24.0,65.0,0.308
24.0,66.0,0.243
24.0,67.0,0.125
24.0,68.0,0.146
24.0,69.0,0.165
24.0,70.0,0.12
24.0,71.0,0.138
24.0,72.0,0.135
24.0,73.0,0.123
24.0,74.0,0.135
24.0,75.0,0.089
24.0,76.0,0.088
24.0,77.0,0.157
24.0,78.0,0.153
24.0,79.0,0.262
24.0,80.0,0.304
24.0,81.0,0.42
24.0,82.0,0.513
24.0,83.0,0.584
24.0,84.0,0.741
24.0,85.0,0.864
24.0,86.0,0.943
24.0,87.0,1.01
24.0,88.0,1.047
24.0,89.0,0.986
24.0,90.0,0.917
24.0,91.0,0.85
24.0,92.0,0.699
24.0,93.0,0.593
24.0,94.0,0.522
24.0,95.0,0.341
24.0,96.0,0.321
24.0,97.0,0.219
24.0,98.0,0.176
24.0,99.0,0.097
24.0,100.0,0.138
25.0,58.0,1.171
25.0,59.0,1.178
25.0,60.0,1.06
25.0,61.0,0.922
25.0,62.0,0.769
25.0,63.0,0.555
25.0,64.0,0.445
25.0,65.0,0.32
25.0,66.0,0.169
25.0,67.0,0.162
25.0,68.0,0.147
25.0,69.0,0.118
25.0,70.0,0.104
25.0,71.0,0.098
25.0,72.0,0.091
25.0,73.0,0.132
25.0,74.0,0.111
25.0,75.0,0.138
25.0,76.0,0.098
25.0,77.0,0.127
25.0,78.0,0.168
25.0,79.0,0.183
25.0,80.0,0.233
25.0,81.0,0.309
25.0,82.0,0.383
25.0,83.0,0.468
25.0,84.0,0.6
25.0,85.0,0.717
25.0,86.0,0.782
25.0,87.0,0.779
25.0,88.0,0.865
25.0,89.0,0.842
25.0,90.0,0.786
25.0,91.0,0.659
25.0,92.0,0.575
25.0,93.0,0.496
25.0,94.0,0.428
25.0,95.0,0.301
25.0,96.0,0.234
25.0,97.0,0.194
25.0,98.0,0.138
25.0,99.0,0.139
25.0,100.0,0.133
26.0,58.0,1.162
26.0,59.0,1.178
26.0,60.0,1.038
26.0,61.0,0.922
26.0,62.0,0.747
26.0,63.0,0.561
26.0,64.0,0.413
26.0,65.0,0.321
26.0,66.0,0.162
26.0,67.0,0.168
26.0,68.0,0.145
26.0,69.0,0.132
26.0,70.0,0.087
26.0,71.0,0.12
26.0,72.0,0.06
26.0,73.0,0.106
26.0,74.0,0.082
26.0,75.0,0.088
26.0,76.0,0.109
26.0,77.0,0.101
26.0,78.0,0.151
26.0,79.0,0.144
26.0,80.0,0.174
26.0,81.0,0.253
26.0,82.0,0.321
26.0,83.0,0.398
26.0,84.0,0.471
26.0,85.0,0.528
26.0,86.0,0.596
26.0,87.0,0.633
26.0,88.0,0.64
26.0,89.0,0.624
26.0,90.0,0.601
26.0,91.0,0.527
26.0,92.0,0.457
26.0,93.0,0.349
26.0,94.0,0.358
26.0,95.0,0.24
26.0,96.0,0.182
26.0,97.0,0.118
26.0,98.0,0.147
26.0,99.0,0.097
26.0,100.0,0.1
